Iteracion mejor solucion;tiempo;ruta;coste
68;0;0 20 21 23 24 22 10 11 8 7 5 3 6 4 1 2 25 13 18 17 19 16 14 15 9 26 12 ;368
Numero_iteracion;tiempo;ruta;coste
0;0;0 20 24 21 25 10 11 6 4 3 7 9 5 8 22 13 17 19 15 16 18 14 2 12 23 26 1 ;458
1;0;0 21 20 22 25 10 11 9 6 8 3 7 23 24 4 5 13 15 19 16 14 18 1 12 26 2 17 ;459
2;0;0 20 24 25 21 22 10 11 6 8 4 1 3 5 23 13 15 14 12 17 18 19 7 9 26 16 2 ;387
3;0;0 20 21 22 24 10 11 6 9 7 5 3 4 8 1 2 23 13 17 19 15 12 18 16 14 26 25 ;409
4;0;0 22 20 21 25 23 10 11 6 8 9 7 3 5 4 13 18 19 16 15 24 2 12 1 14 26 17 ;495
5;0;0 20 24 25 21 23 11 10 9 4 3 7 5 8 6 2 22 17 13 15 16 1 12 14 18 26 19 ;490
6;0;0 22 20 21 24 25 11 8 7 4 6 9 3 10 5 1 13 15 19 16 17 12 23 14 26 18 2 ;448
7;0;0 21 20 23 25 24 11 8 7 3 4 6 9 5 22 1 13 18 17 15 16 10 14 2 26 19 12 ;470
8;0;0 21 22 20 24 23 10 7 4 6 3 8 5 1 9 2 25 17 18 15 16 14 13 12 26 19 11 ;419
9;0;0 21 20 22 23 10 11 6 4 7 8 5 3 2 1 25 13 18 15 16 9 14 12 19 17 26 24 ;435
10;0;0 21 22 25 23 24 10 11 8 6 7 4 3 1 9 13 17 15 16 19 14 2 5 12 26 18 20 ;442
11;0;0 21 20 23 22 24 10 8 6 9 4 3 7 1 11 5 2 25 17 15 19 13 18 12 16 14 26 ;408
12;0;0 22 23 20 24 25 10 11 6 9 7 4 3 1 5 21 2 13 15 16 19 17 18 14 26 12 8 ;458
13;0;0 22 23 21 20 24 11 10 9 4 3 7 5 6 2 1 25 13 18 17 16 15 12 8 19 14 26 ;451
14;0;0 20 24 25 21 23 11 9 6 4 1 3 8 5 2 10 13 17 19 16 12 18 14 22 7 26 15 ;411
15;0;0 21 23 20 22 24 25 10 7 3 1 5 6 11 4 9 2 12 15 16 13 18 19 14 26 17 8 ;453
16;0;0 22 23 25 21 10 7 5 3 6 8 4 2 1 11 13 18 19 15 14 17 12 16 9 24 20 26 ;400
17;0;0 21 20 24 23 25 11 10 9 6 4 3 5 1 7 22 13 17 19 15 14 12 8 18 26 2 16 ;410
18;0;0 20 24 21 23 25 11 8 6 9 7 4 1 3 22 10 13 17 15 16 19 12 2 18 5 14 26 ;440
19;0;0 20 22 23 25 21 7 4 3 5 6 11 8 10 2 1 12 15 19 17 16 24 9 13 18 26 14 ;484
20;0;0 21 20 24 22 23 10 8 6 4 1 2 3 5 9 25 11 13 17 19 16 12 18 7 15 26 14 ;456
21;0;0 20 21 23 24 22 10 11 6 9 8 3 4 7 1 5 13 18 15 16 19 12 17 2 25 26 14 ;448
22;0;0 20 24 25 23 21 22 10 7 4 1 2 8 6 3 5 11 13 17 15 14 19 12 9 18 16 26 ;384
23;0;0 22 21 25 24 23 20 7 3 1 5 8 6 10 4 2 13 17 15 14 12 18 19 9 16 26 11 ;466
24;0;0 22 23 20 25 24 10 7 5 3 4 1 6 8 21 11 2 9 15 13 19 16 17 14 18 26 12 ;485
25;0;0 20 22 21 23 10 11 9 6 7 3 1 4 5 25 24 17 13 18 16 12 14 15 2 8 19 26 ;397
26;0;0 21 22 23 25 24 10 7 3 5 6 9 11 8 1 4 13 17 18 16 14 19 15 2 26 20 12 ;409
27;0;0 20 24 22 21 23 10 7 3 5 1 4 8 11 2 9 12 15 16 13 18 14 6 19 26 25 17 ;462
28;0;0 21 23 25 24 20 22 10 8 7 5 4 3 1 6 2 13 18 15 14 16 9 11 17 19 26 12 ;451
29;0;0 22 21 20 23 24 11 9 4 7 3 6 1 5 8 2 10 25 13 15 19 18 14 17 12 26 16 ;454
30;0;0 21 20 24 22 23 11 8 6 4 3 1 7 9 5 2 13 15 19 16 17 18 10 14 12 25 26 ;397
31;0;0 20 22 25 21 24 23 11 10 7 5 4 3 8 6 9 13 15 16 14 19 12 18 2 26 17 1 ;418
32;0;0 22 21 20 23 25 10 8 9 11 7 3 5 6 24 13 18 17 15 19 12 4 1 14 16 26 2 ;387
33;0;0 21 22 23 24 25 10 7 4 1 2 3 6 8 5 11 9 12 14 15 16 17 18 20 26 19 13 ;465
34;0;0 22 21 20 25 23 24 10 8 7 4 3 6 11 9 1 5 17 15 16 14 19 13 12 2 26 18 ;452
35;0;0 21 20 24 25 22 11 10 8 9 6 4 3 1 7 23 13 18 19 17 15 14 12 2 16 26 5 ;413
36;0;0 21 23 22 24 20 25 11 10 7 3 1 4 5 6 9 13 15 16 12 19 14 17 2 18 26 8 ;410
37;0;0 22 23 25 20 21 24 10 8 9 4 3 5 7 6 11 2 1 15 16 14 19 18 17 26 13 12 ;427
38;0;0 22 20 21 25 24 10 7 3 4 5 1 6 23 8 11 9 2 12 14 15 13 18 17 16 19 26 ;390
39;0;0 20 22 23 21 10 7 4 6 9 11 5 8 3 13 25 24 18 15 14 12 17 2 1 16 19 26 ;435
40;0;0 20 21 23 24 22 10 8 7 4 6 9 5 2 3 1 13 18 17 15 14 16 12 19 11 25 26 ;425
41;0;0 21 20 24 25 10 11 9 6 7 5 4 3 2 8 1 13 15 19 17 14 12 16 23 26 18 22 ;404
42;0;0 22 23 21 25 10 11 6 4 7 3 5 2 24 8 9 12 16 14 13 18 17 15 1 26 19 20 ;398
43;0;0 20 21 22 24 10 7 3 4 1 2 6 9 8 23 11 17 13 15 14 19 12 18 5 16 25 26 ;426
44;0;0 20 24 21 23 10 8 9 6 7 3 5 4 11 1 22 2 13 17 15 16 12 19 14 18 26 25 ;431
45;0;0 20 22 21 23 25 24 10 11 9 8 4 6 7 3 5 2 13 17 18 15 12 19 16 26 14 1 ;452
